name,stockCode,corpCode,market,sector,marketCap,per,roe,pbr,debtRatio,opMargin,dividendYield,netCash,catalyst,governance,confidence,source
KG케미칼보통주,001390,00101220,KOSPI,주권,,6.15,6.33,0.41,111.91,3.36,2.3,,,,,opendart-acnt:2025:11011
AJ네트웍스보통주,095570,00365387,KOSPI,주권,,10.58,6.29,0.52,289.13,6.69,5.26,,,,,opendart-acnt:2025:11011
DSR보통주,155660,00110608,KOSPI,주권,,4.86,6.18,0.3,58.32,6.38,1.59,,,,,opendart-acnt:2025:11011
LG이노텍보통주,011070,00105961,KOSPI,주권,,20.02,6.14,1.68,107.02,3.04,0.55,,,,,opendart-acnt:2025:11011
LG유플러스보통주,032640,00231363,KOSPI,주권,,19.99,5.71,0.87,117.06,5.77,3.73,,,,,opendart-acnt:2025:11011
GS보통주,078930,00500254,KOSPI,주권,,11.97,5.51,0.48,86.04,11.66,3.77,,,,,opendart-acnt:2025:11011
NICE보통주,034310,00158316,KOSPI,주권,,9.9,5.47,0.62,162.04,6.11,3.75,,,,,opendart-acnt:2025:11011
CS홀딩스보통주,000590,00149026,KOSPI,주권,,2.61,5.44,0.25,8.04,14.99,0.65,,,,,opendart-acnt:2025:11011
LX인터내셔널보통주,001120,00120076,KOSPI,주권,,9.7,4.62,0.64,163.83,1.75,4.22,,,,,opendart-acnt:2025:11011
LG전자보통주,066570,00401731,KOSPI,주권,,58.15,4.54,1.02,140.33,2.78,0.84,,,,,opendart-acnt:2025:11011
E1보통주,017940,00165583,KOSPI,주권,,8.76,4.44,0.33,509.97,3.12,3.62,,,,,opendart-acnt:2025:11011
HL만도보통주,204320,01042775,KOSPI,주권,,18.25,4.43,0.94,148.16,3.78,1.39,,,,,opendart-acnt:2025:11011
MDS테크,086960,00445841,KOSDAQ,중견기업부,,14.48,4.22,0.81,48,3.1,0,,,,,opendart-acnt:2025:11011
NICE인프라,063570,00363769,KOSDAQ,우량기업부,,50.86,3.95,0.7,244.77,8,3.03,,,,,opendart-acnt:2025:11011
LG디스플레이보통주,034220,00105873,KOSPI,주권,,,3.82,0.97,243.36,2,0,,,,,opendart-acnt:2025:11011
SHD보통주,001770,00137809,KOSPI,주권,,6.77,3.61,0.37,45.47,2.73,0.61,,,,,opendart-acnt:2025:11011
BYC보통주,001460,00122579,KOSPI,주권,,21.63,3.52,0.72,37.92,16.29,0.73,,,,,opendart-acnt:2025:11011
LG보통주,003550,00120021,KOSPI,주권,,25.05,3.42,0.53,12.03,12.58,3.33,,,,,opendart-acnt:2025:11011
CJ씨푸드보통주,011150,00129013,KOSPI,주권,,19.6,3.29,1.18,91.52,-0.47,0,,,,,opendart-acnt:2025:11011
KB오토시스,024120,00157539,KOSDAQ,중견기업부,,14.73,3.27,0.36,115.41,3.97,5.31,,,,,opendart-acnt:2025:11011
KG모빌리티보통주,003620,00138242,KOSPI,주권,,21.77,3.21,0.53,126.95,0.84,0,,,,,opendart-acnt:2025:11011
NHN보통주,181710,00983271,KOSPI,주권,,,2.94,0.84,117.49,5.26,1.31,,,,,opendart-acnt:2025:11011
NPC보통주,004250,00108038,KOSPI,주권,,2.09,2.92,0.34,39.15,5.23,2.66,,,,,opendart-acnt:2025:11011
HL D&I보통주,014790,00161116,KOSPI,주권,,13.68,2.9,0.35,239.56,4.58,0,,,,,opendart-acnt:2025:11011
BGF보통주,027410,00219097,KOSPI,주권,,5.33,2.82,0.28,18.55,13.03,2.53,,,,,opendart-acnt:2025:11011
HL홀딩스보통주,060980,00299002,KOSPI,주권,,20.17,2.01,0.37,116.74,6.64,4.75,,,,,opendart-acnt:2025:11011
S-Oil보통주,010950,00138279,KOSPI,주권,,,2.01,1.62,198.82,0.69,0.1,,,,,opendart-acnt:2025:11011
SG글로벌보통주,001380,00152039,KOSPI,주권,,7.84,1.86,0.33,30.56,5.31,0,,,,,opendart-acnt:2025:11011
GS건설보통주,006360,00120030,KOSPI,주권,,13.01,1.76,0.72,234.2,3.52,0.8,,,,,opendart-acnt:2025:11011
(주)포스코엠텍,009520,00128111,KOSDAQ GLOBAL,우량기업부,,1290,1.25,6.73,35.84,0.29,0.11,,,,,opendart-acnt:2025:11011
CJ보통주,001040,00148540,KOSPI,주권,,68.49,0.82,1.26,176,5.61,1.46,,,,,opendart-acnt:2025:11011
LG에너지솔루션보통주,373220,01515323,KOSPI,주권,,,0.27,4.57,129,5.69,0,,,,,opendart-acnt:2025:11011
NH프라임리츠보통주,338100,01391033,KOSPI,부동산투자회사,,,0.13,,0.27,-5.04,,,,,,opendart-acnt:2025:11011
DB하이텍보통주,000990,01948220,KOSDAQ,SPAC(소속부없음),,,-0.03,,13.87,,0,,,,,opendart-acnt:2025:11011
ESR켄달스퀘어리츠보통주,365550,01437186,KOSPI,부동산투자회사,,,-0.31,,143.37,43.42,,,,,,opendart-acnt:2025:11011
KR모터스보통주,000040,01884065,KOSDAQ,기술성장기업부,,,-0.35,,14.92,,0,,,,,opendart-acnt:2025:11011
LS네트웍스보통주,000680,00104698,KOSDAQ,SPAC(소속부없음),,,-1.48,,814.38,0.85,0,,,,,opendart-acnt:2025:11011
KISCO홀딩스보통주,001940,00159740,KOSPI,주권,,10.26,-1.52,0.28,10.9,-8.57,6.88,,,,,opendart-acnt:2025:11011
LG생활건강보통주,051900,00356370,KOSPI,주권,,22.07,-1.52,0.75,23.32,2.69,1.41,,,,,opendart-acnt:2025:11011
DI동일보통주,001530,00118345,KOSPI,주권,,339.86,-1.84,0.95,96.89,-0.26,0.99,,,,,opendart-acnt:2025:11011
DL보통주,000210,00109693,KOSPI,주권,,16.62,-1.98,0.36,147.55,5.6,1.52,,,,,opendart-acnt:2025:11011
LG화학보통주,051910,00356361,KOSPI,주권,,,-2.05,0.84,114.54,2.57,0.28,,,,,opendart-acnt:2025:11011
ES큐브,050120,00175623,KOSDAQ,중견기업부,,38.24,-2.32,0.41,7.8,-92.12,0,,,,,opendart-acnt:2025:11011
DS단석보통주,017860,00108612,KOSPI,주권,,,-4.36,1.2,180.8,0.84,0,,,,,opendart-acnt:2025:11011
CMG제약,058820,00380429,KOSDAQ,중견기업부,,93.32,-5.15,1.3,51.8,-3.51,0,,,,,opendart-acnt:2025:11011
OCI보통주,456040,01760738,KOSPI,주권,,8.58,-5.69,0.69,95.38,0.02,2.36,,,,,opendart-acnt:2025:11011
SGC에너지보통주,005090,00125150,KOSPI,주권,,12.61,-11.51,1.08,339.16,3.89,2.99,,,,,opendart-acnt:2025:11011
HLB이노베이션,024850,00155586,KOSDAQ,중견기업부,,,-14.22,2.72,21.43,-116.39,0,,,,,opendart-acnt:2025:11011
SH에너지화학보통주,002360,00136457,KOSPI,주권,,,-14.41,0.58,46.1,-12.42,0,,,,,opendart-acnt:2025:11011
AK홀딩스보통주,006840,00125080,KOSPI,주권,,,-14.75,0.21,432.2,-4.57,4.72,,,,,opendart-acnt:2025:11011
MH에탄올보통주,023150,00121534,KOSPI,주권,,,-16.97,0.46,317.46,10.02,5.42,,,,,opendart-acnt:2025:11011
KB스타리츠보통주,432320,01622720,KOSPI,부동산투자회사,,,-30.8,,298.69,-238.36,,,,,,opendart-acnt:2025:11011
KD,044180,00111218,KOSDAQ,관리종목(소속부없음),,1.21,-95.55,0.14,2041.06,-15.36,0,,,,,opendart-acnt:2025:11011
